"active_bins","sum_of_data"
"97","87081.99999999981"
"98","87472.3999999998"
"99","87973.6999999998"
"99","88447.69999999978"
"99","87930.19999999978"
"98","87402.89999999976"
"98","87029.49999999975"
"98","87536.39999999975"
"98","87362.09999999974"
"98","87102.09999999974"
"98","87614.89999999975"
"98","87913.79999999976"
"98","87558.59999999977"
"97","86955.39999999982"
"97","86673.0999999998"
"97","87074.4999999998"
"98","87754.09999999977"
"98","87540.69999999978"
"98","87903.99999999978"
"98","87698.29999999977"
"98","88149.69999999976"
"98","88439.19999999978"
"97","87944.99999999977"
"97","87637.39999999978"
"97","87863.79999999978"
"98","88415.39999999979"
"98","88153.59999999977"
"98","88376.7999999998"
"97","87803.19999999976"
"96","87401.99999999975"
"96","86910.99999999972"
"96","87180.29999999976"
"96","87454.49999999975"
"96","87882.49999999977"
"95","87264.29999999974"
"95","87071.19999999975"
"95","86610.99999999975"
"95","86856.49999999977"
"95","86585.19999999978"
"96","86923.79999999977"
"96","86443.59999999977"
"96","85857.19999999974"
"96","85480.79999999974"
"97","85958.19999999972"
"97","86304.6999999997"
"97","86551.79999999973"
"97","86941.09999999974"
"97","86713.79999999973"
"97","86890.09999999973"
"98","87398.39999999972"
"99","87804.99999999972"
"99","88329.89999999972"
"100","88858.4999999997"
"100","89156.49999999972"
"101","89770.7999999997"
"101","89342.79999999971"
"101","89073.49999999972"
"101","88726.99999999974"
"101","88397.09999999969"
"101","88697.79999999973"
"100","87977.89999999972"
"100","88348.89999999972"
"100","87864.8999999997"
"100","87518.79999999971"
"100","87091.99999999971"
"100","87404.39999999972"
"100","87750.69999999969"
"100","87334.5999999997"
"100","87097.2999999997"
"100","87357.3999999997"
"100","87707.4999999997"
"99","87027.19999999968"
"100","87809.2999999997"
"100","87990.3999999997"
"100","88143.9999999997"
"100","87528.59999999967"
"100","87833.99999999967"
"100","87995.99999999967"
"100","88586.79999999968"
"100","88345.79999999967"
"100","88595.29999999967"
"100","89023.49999999967"
"100","89281.09999999969"
"100","89449.69999999966"
"100","89202.59999999967"
"100","89579.59999999967"
"100","89090.59999999967"
"100","88499.79999999968"
"100","88830.39999999969"
"100","89042.49999999968"
"100","89390.59999999967"
"100","89641.49999999968"
"100","89212.89999999966"
"100","89583.89999999966"
"100","89093.19999999965"
"99","88541.59999999963"
"99","88795.49999999964"
"99","88485.49999999964"
"99","88220.89999999963"
"99","88077.89999999962"
"99","87681.49999999964"
"99","87377.29999999964"
"99","87096.19999999962"
"99","87443.59999999966"
"100","87959.39999999963"
"100","87640.19999999963"
"100","87444.99999999964"
"100","86991.09999999964"
"99","86450.9999999996"
"100","87101.89999999963"
"100","87454.39999999962"
"99","86925.69999999963"
"99","86614.5999999996"
